0,0,1
0.89443,0,0.44721
0.27639,0.85065,0.44721
-0.72361,0.52573,0.44721
-0.72361,-0.52573,0.44721
0.27639,-0.85065,0.44721
0.72361,-0.52573,-0.44721
0.72361,0.52573,-0.44721
-0.27639,0.85065,-0.44721
-0.89443,1.0954e-16,-0.44721
-0.27639,-0.85065,-0.44721
0,0,-1
0.52573,0,0.85065
0.68819,0.5,0.52573
0.16246,0.5,0.85065
-0.26287,0.80902,0.52573
-0.42533,0.30902,0.85065
-0.85065,1.3051e-16,0.52573
-0.42533,-0.30902,0.85065
-0.26287,-0.80902,0.52573
0.16246,-0.5,0.85065
0.68819,-0.5,0.52573
0.95106,0.30902,0
0.58779,0.80902,0
3.2629e-17,1,0
-0.58779,0.80902,0
-0.95106,0.30902,0
-0.95106,-0.30902,0
-0.58779,-0.80902,0
-1.6314e-16,-1,0
0.58779,-0.80902,0
0.95106,-0.30902,0
0.85065,0,-0.52573
0.26287,0.80902,-0.52573
-0.68819,0.5,-0.52573
-0.68819,-0.5,-0.52573
0.26287,-0.80902,-0.52573
0.42533,0.30902,-0.85065
0.42533,-0.30902,-0.85065
-0.16246,0.5,-0.85065
-0.52573,6.4383e-17,-0.85065
-0.16246,-0.5,-0.85065
